Rank,Compound,ChEMBL_ID,Score,Phase,Aging_Targets,Lifespan_Pct,pChEMBL,Known_Geroprotector,Mechanisms,Sources
88,MURAGLITAZAR,CHEMBL186179,0.295,3,1,0.0,0.0,False,Peroxisome proliferator-activated receptor alpha agonist,open_targets
89,MK-0767,CHEMBL4297404,0.295,3,1,0.0,0.0,False,Peroxisome proliferator-activated receptor alpha agonist,open_targets
90,IMIGLITAZAR,CHEMBL592054,0.295,3,1,0.0,0.0,False,Peroxisome proliferator-activated receptor alpha agonist,open_targets
91,BALSALAZIDE,CHEMBL1201346,0.295,3,1,0.0,0.0,False,Peroxisome proliferator-activated receptor gamma agonist,open_targets
92,LANIFIBRANOR,CHEMBL4091374,0.295,3,1,0.0,0.0,False,Peroxisome proliferator-activated receptor agonist,open_targets
93,BALAGLITAZONE,CHEMBL2103991,0.295,3,1,0.0,0.0,False,Peroxisome proliferator-activated receptor gamma partial agonist,open_targets
94,RIVOGLITAZONE,CHEMBL2104753,0.295,3,1,0.0,0.0,False,Peroxisome proliferator-activated receptor gamma agonist,open_targets
95,TESAGLITAZAR,CHEMBL282686,0.295,3,1,0.0,0.0,False,Peroxisome proliferator-activated receptor alpha agonist,open_targets
96,SAROGLITAZAR,CHEMBL4297530,0.295,3,1,0.0,0.0,False,Peroxisome proliferator-activated receptor alpha agonist,open_targets
97,CHIGLITAZAR,CHEMBL4650349,0.295,3,1,0.0,0.0,False,Peroxisome proliferator-activated receptor agonist,open_targets
98,ALEGLITAZAR,CHEMBL519504,0.295,3,1,0.0,0.0,False,Peroxisome proliferator-activated receptor alpha agonist,open_targets
99,ORANTINIB,CHEMBL274654,0.295,3,1,0.0,0.0,False,Platelet-derived growth factor receptor inhibitor,open_targets
100,SURUFATINIB,CHEMBL4297190,0.295,3,1,0.0,0.0,False,Vascular endothelial growth factor receptor inhibitor,open_targets
101,BRIVANIB ALANINATE,CHEMBL270995,0.295,3,1,0.0,0.0,False,Vascular endothelial growth factor receptor inhibitor,open_targets
102,EDIFOLIGIDE SODIUM,CHEMBL2109058,0.295,3,1,0.0,0.0,False,E2F inhibitor,open_targets
103,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,CHEMBL1201540,0.295,3,1,0.0,0.0,False,Insulin receptor agonist,open_targets
104,INSULIN PORK,CHEMBL1201539,0.295,3,1,0.0,0.0,False,Insulin receptor agonist,open_targets
105,INSULIN SUSP ISOPHANE BEEF,CHEMBL1201545,0.295,3,1,0.0,0.0,False,Insulin receptor agonist,open_targets
106,INSULIN ZINC SUSP RECOMBINANT HUMAN,CHEMBL1201644,0.295,3,1,0.0,0.0,False,Insulin receptor agonist,open_targets
