Database,Pathway,P-value,Adjusted P-value,Combined Score,N Genes Overlap,Genes,Compostos Associados,Aging Related
GO_BP,Regulation Of Adipose Tissue Development (GO:1904177),4.983941e-07,1.229372e-05,4023.42,3,PRKAA1; PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; Metformin; ROSIGLITAZONE; Resveratrol,No
Reactome,Gene Expression (Transcription) R-HSA-74160,5.059186e-07,1.195233e-05,124.64,12,RPTOR; IL6; PRKAA1; STK11; PRKAA2; SRC; ABL1; PPARG; RICTOR; SIRT1; MTOR; SIRT3,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; Dasatinib; GEDATOLISIB; Metformin; ROSIGLITAZONE; Rapamycin; Resveratrol; SILTUXIMAB,No
KEGG,Proteoglycans in cancer,5.212200e-07,5.342505e-06,359.33,6,RPS6KB1; SRC; PIK3R1; MTOR; FGFR1; IGF1R,DACTOLISIB; Dasatinib; GEDATOLISIB; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin,No
KEGG,Rap1 signaling pathway,6.002603e-07,5.790747e-06,347.02,6,FLT1; SRC; PIK3R1; FGFR1; EPHA2; IGF1R,DACTOLISIB; Dasatinib; GEDATOLISIB; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
KEGG,Lipid and atherosclerosis,6.888810e-07,6.276471e-06,335.37,6,IL6; SRC; BCL2; PPARG; PIK3R1; NFE2L2,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; Dasatinib; GEDATOLISIB; ROSIGLITAZONE; SILTUXIMAB; VENETOCLAX,No
GO_BP,Regulation Of Cell Growth (GO:0001558),9.460399e-07,2.279296e-05,309.88,6,RPTOR; STK11; BCL2; RICTOR; SIRT1; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin; Resveratrol; VENETOCLAX,No
GO_BP,Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557),9.808573e-07,2.309473e-05,469.51,5,IL6; RPS6KB1; NAMPT; SIRT1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; Resveratrol; SILTUXIMAB,No
KEGG,Ras signaling pathway,1.074151e-06,9.271619e-06,300.18,6,FLT1; ABL1; PIK3R1; FGFR1; EPHA2; IGF1R,DACTOLISIB; Dasatinib; GEDATOLISIB; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Negative Regulation Of TOR Signaling (GO:0032007),1.234372e-06,2.780020e-05,833.88,4,PRKAA1; STK11; PRKAA2; SIRT1,Metformin; Resveratrol,No
GO_BP,Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535),1.234372e-06,2.780020e-05,833.88,4,PPARG; SIRT1; FGFR1; EPHA2,BARDOXOLONE METHYL; BEZAFIBRATE; Dasatinib; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; ROSIGLITAZONE; Resveratrol,No
