Database,Pathway,P-value,Adjusted P-value,Combined Score,N Genes Overlap,Genes,Compostos Associados,Aging Related
KEGG,Signaling pathways regulating pluripotency of stem cells,1.261410e-03,2.998134e-03,105.06,3,PIK3R1; FGFR1; IGF1R,DACTOLISIB; GEDATOLISIB; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
GO_BP,Regulation Of Cell Adhesion (GO:0030155),1.286950e-03,6.379330e-03,104.00,3,SRC; EPHB2; EPHA2,Dasatinib,No
GO_BP,Organelle Assembly (GO:0070925),1.298601e-03,6.406430e-03,63.19,4,BECN1; MAP1LC3B; ULK1; ATG5,Spermidine,No
GO_BP,Positive Regulation Of Protein Kinase Activity (GO:0045860),1.312814e-03,6.426683e-03,102.95,3,RPTOR; STK11; SRC,Dasatinib; Metformin; Rapamycin,No
KEGG,Starch and sucrose metabolism,1.327519e-03,3.110188e-03,277.45,2,MGAM; GAA,Acarbose,No
Reactome,HSF1-dependent Transactivation R-HSA-3371571,1.327519e-03,5.834911e-03,277.45,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
Reactome,Regulation Of TP53 Degradation R-HSA-6804757,1.327519e-03,5.834911e-03,277.45,2,RICTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,Yes
Reactome,Signaling By FGFR1 In Disease R-HSA-5655302,1.327519e-03,5.834911e-03,277.45,2,PIK3R1; FGFR1,DACTOLISIB; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
GO_BP,Negative Regulation Of Protein Kinase B Signaling (GO:0051898),1.327519e-03,6.426683e-03,277.45,2,SIRT1; EPHA2,Dasatinib; Resveratrol,No
GO_BP,Positive Regulation Of Phospholipase C Activity (GO:0010863),1.327519e-03,6.426683e-03,277.45,2,FLT1; FGFR1,NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Lytic Vacuole Organization (GO:0080171),1.327519e-03,6.426683e-03,277.45,2,GAA; MTOR,Acarbose; DACTOLISIB; GEDATOLISIB; Rapamycin,No
Reactome,RHOV GTPase Cycle R-HSA-9013424,1.402072e-03,5.954866e-03,267.28,2,PIK3R1; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB,No
Reactome,Regulation Of TP53 Expression And Degradation R-HSA-6806003,1.402072e-03,5.954866e-03,267.28,2,RICTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,Yes
Reactome,Early SARS-CoV-2 Infection Events R-HSA-9772572,1.402072e-03,5.954866e-03,267.28,2,BECN1; MAP1LC3B,Spermidine,No
GO_BP,Negative Regulation Of Endothelial Cell Proliferation (GO:0001937),1.402072e-03,6.693762e-03,267.28,2,FLT1; PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; ROSIGLITAZONE,No
GO_BP,Positive Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046427),1.402072e-03,6.693762e-03,267.28,2,GHR; IL6,SILTUXIMAB; SOMATROPIN,Yes
GO_BP,Positive Regulation Of Receptor Signaling Pathway Via STAT (GO:1904894),1.402072e-03,6.693762e-03,267.28,2,GHR; IL6,SILTUXIMAB; SOMATROPIN,No
GO_BP,Positive Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002702),1.478588e-03,7.026682e-03,257.74,2,IL6; EPHB2,Dasatinib; SILTUXIMAB,No
GO_BP,Negative Regulation Of Gene Expression (GO:0010629),1.518554e-03,7.183662e-03,59.06,4,PRKAA1; PRKAA2; PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; Metformin; ROSIGLITAZONE; Resveratrol,No
GO_BP,Regulation Of Cellular Component Organization (GO:0051128),1.531595e-03,7.212420e-03,95.16,3,RPTOR; STK11; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin,No
Reactome,Signaling By FGFR3 R-HSA-5654741,1.557061e-03,6.539656e-03,248.78,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,Yes
GO_BP,Regulation Of Mitochondrial Membrane Potential (GO:0051881),1.557061e-03,7.266285e-03,248.78,2,BCL2; ABL1,Dasatinib; VENETOCLAX,Yes
GO_BP,Positive Regulation Of Lipid Biosynthetic Process (GO:0046889),1.557061e-03,7.266285e-03,248.78,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
KEGG,Oxytocin signaling pathway,1.560449e-03,3.604418e-03,94.25,3,PRKAA1; PRKAA2; SRC,Dasatinib; Metformin,No
Reactome,RET Signaling R-HSA-8853659,1.637487e-03,6.727935e-03,240.33,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
Reactome,Signaling By FGFR4 R-HSA-5654743,1.637487e-03,6.727935e-03,240.33,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,Yes
GO_BP,Regulation Of Microtubule Cytoskeleton Organization (GO:0070507),1.637487e-03,7.573376e-03,240.33,2,PRKAA1; PRKAA2,Metformin,No
GO_BP,Protein Deacetylation (GO:0006476),1.637487e-03,7.573376e-03,240.33,2,SIRT1; SIRT3,Resveratrol,No
KEGG,Ferroptosis,1.719859e-03,3.917457e-03,232.36,2,MAP1LC3B; ATG5,Spermidine,No
GO_BP,Regulation Of Microtubule-Based Process (GO:0032886),1.719859e-03,7.918995e-03,232.36,2,PRKAA1; PRKAA2,Metformin,No
Reactome,RND1 GTPase Cycle R-HSA-9696273,1.804172e-03,7.178706e-03,224.84,2,PIK3R1; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB,No
Reactome,RND3 GTPase Cycle R-HSA-9696264,1.804172e-03,7.178706e-03,224.84,2,PIK3R1; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB,No
Reactome,Signaling By SCF-KIT R-HSA-1433557,1.804172e-03,7.178706e-03,224.84,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Keratinocyte Differentiation (GO:0030216),1.804172e-03,8.234019e-03,224.84,2,FGFR1; EPHA2,Dasatinib; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Monocyte Chemotaxis (GO:0002548),1.804172e-03,8.234019e-03,224.84,2,IL6; FLT1,NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; SILTUXIMAB,No
Reactome,RND2 GTPase Cycle R-HSA-9696270,1.890420e-03,7.443530e-03,217.72,2,PIK3R1; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Lysosome Organization (GO:0007040),1.890420e-03,8.552295e-03,217.72,2,GAA; MTOR,Acarbose; DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Regulation Of Cellular Component Size (GO:0032535),1.890420e-03,8.552295e-03,217.72,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
Reactome,PI3K Cascade R-HSA-109704,1.978598e-03,7.710415e-03,210.98,2,PIK3R1; FGFR1,DACTOLISIB; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
GO_BP,Regulation Of Insulin Receptor Signaling Pathway (GO:0046626),1.978598e-03,8.759949e-03,210.98,2,RPS6KB1; SIRT1,Rapamycin; Resveratrol,No
GO_BP,Autophagosome Maturation (GO:0097352),1.978598e-03,8.759949e-03,210.98,2,BECN1; MAP1LC3B,Spermidine,No
GO_BP,Phosphatidylinositol Phosphate Biosynthetic Process (GO:0046854),1.978598e-03,8.759949e-03,210.98,2,BECN1; PIK3R1,DACTOLISIB; GEDATOLISIB; Spermidine,No
GO_BP,Positive Regulation Of Biosynthetic Process (GO:0009891),1.978598e-03,8.759949e-03,210.98,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Regulation Of B Cell Proliferation (GO:0030888),1.978598e-03,8.759949e-03,210.98,2,BCL2; EPHB2,Dasatinib; VENETOCLAX,No
KEGG,Amyotrophic lateral sclerosis,2.034436e-03,4.570513e-03,51.94,4,BECN1; BCL2; ULK1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; Spermidine; VENETOCLAX,No
Reactome,TBC/RABGAPs R-HSA-8854214,2.068701e-03,7.898675e-03,204.59,2,MAP1LC3B; ULK1,Spermidine,No
Reactome,Heme Signaling R-HSA-9707616,2.068701e-03,7.898675e-03,204.59,2,SIRT1; NFE2L2,BARDOXOLONE METHYL; Resveratrol,No
KEGG,Protein processing in endoplasmic reticulum,2.104173e-03,4.663303e-03,80.73,3,GANAB; BCL2; NFE2L2,Acarbose; BARDOXOLONE METHYL; VENETOCLAX,No
Reactome,SARS-CoV Infections R-HSA-9679506,2.137891e-03,8.081226e-03,50.80,4,BECN1; GANAB; MAP1LC3B; NFE2L2,Acarbose; BARDOXOLONE METHYL; Spermidine,No
KEGG,Type II diabetes mellitus,2.160721e-03,4.724777e-03,198.53,2,PIK3R1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536),2.160721e-03,9.525562e-03,198.53,2,SIRT1; FGFR1,NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Resveratrol,No
KEGG,Carbohydrate digestion and absorption,2.254655e-03,4.865307e-03,192.76,2,MGAM; PIK3R1,Acarbose; DACTOLISIB; GEDATOLISIB,No
Reactome,IRS-mediated Signaling R-HSA-112399,2.254655e-03,8.355485e-03,192.76,2,PIK3R1; FGFR1,DACTOLISIB; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
Reactome,Cyclin D Associated Events In G1 R-HSA-69231,2.254655e-03,8.355485e-03,192.76,2,SRC; ABL1,Dasatinib,No
GO_BP,Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796),2.254655e-03,9.773315e-03,192.76,2,STK11; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin,Yes
GO_BP,Positive Regulation Of TOR Signaling (GO:0032008),2.254655e-03,9.773315e-03,192.76,2,RPTOR; RICTOR,Rapamycin,No
GO_BP,Response To Organonitrogen Compound (GO:0010243),2.254655e-03,9.773315e-03,192.76,2,IL6; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; SILTUXIMAB,No
GO_BP,Positive Regulation Of Epithelial To Mesenchymal Transition (GO:0010718),2.254655e-03,9.773315e-03,192.76,2,IL6; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; SILTUXIMAB,No
GO_BP,Negative Regulation Of Cell Population Proliferation (GO:0008285),2.355660e-03,1.016860e-02,48.64,4,IL6; STK11; PPARG; ULK1,BARDOXOLONE METHYL; BEZAFIBRATE; Metformin; ROSIGLITAZONE; SILTUXIMAB; Spermidine,No
KEGG,Tuberculosis,2.434198e-03,5.184525e-03,74.78,3,IL6; SRC; BCL2,Dasatinib; SILTUXIMAB; VENETOCLAX,No
Reactome,Signaling By EGFR R-HSA-177929,2.448238e-03,8.898404e-03,182.04,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
Reactome,Signaling By ERBB2 R-HSA-1227986,2.448238e-03,8.898404e-03,182.04,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
Reactome,Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314,2.511641e-03,9.041906e-03,73.55,3,PRKAA1; PRKAA2; SRC,Dasatinib; Metformin,No
Reactome,Signaling By PDGF R-HSA-186797,2.752822e-03,9.816667e-03,167.76,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
KEGG,Neutrophil extracellular trap formation,2.794687e-03,5.876009e-03,69.49,3,SRC; PIK3R1; MTOR,DACTOLISIB; Dasatinib; GEDATOLISIB; Rapamycin,No
Reactome,Insulin Receptor Signaling Cascade R-HSA-74751,2.858117e-03,1.009690e-02,163.41,2,PIK3R1; FGFR1,DACTOLISIB; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046425),2.858117e-03,1.228634e-02,163.41,2,GHR; IL6,SILTUXIMAB; SOMATROPIN,Yes
GO_BP,Neuron Projection Development (GO:0031175),2.921781e-03,1.250812e-02,67.86,3,IL6; ULK1; EPHB2,Dasatinib; SILTUXIMAB; Spermidine,No
GO_BP,Regulation Of Signal Transduction (GO:0009966),2.964926e-03,1.253892e-02,67.33,3,STK11; SRC; SIRT1,Dasatinib; Metformin; Resveratrol,No
GO_BP,Regulation Of Smooth Muscle Cell Proliferation (GO:0048660),2.965286e-03,1.253892e-02,159.26,2,IL6; PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; SILTUXIMAB,No
GO_BP,Epidermal Cell Differentiation (GO:0009913),2.965286e-03,1.253892e-02,159.26,2,FGFR1; EPHA2,Dasatinib; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
Reactome,Amino Acids Regulate mTORC1 R-HSA-9639288,3.074324e-03,1.076013e-02,155.27,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,Yes
GO_BP,Response To Peptide Hormone (GO:0043434),3.074324e-03,1.289473e-02,155.27,2,SRC; SIRT1,Dasatinib; Resveratrol,No
GO_BP,Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531),3.074324e-03,1.289473e-02,155.27,2,GHR; IL6,SILTUXIMAB; SOMATROPIN,No
GO_BP,Positive Regulation Of Protein Metabolic Process (GO:0051247),3.096721e-03,1.293630e-02,65.78,3,IL6; RPS6KB1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; SILTUXIMAB,No
KEGG,Pathogenic Escherichia coli infection,3.141442e-03,6.521475e-03,65.28,3,IL6; SRC; ABL1,Dasatinib; SILTUXIMAB,No
GO_BP,Cellular Response To Peptide (GO:1901653),3.185225e-03,1.325258e-02,151.46,2,SRC; IGF1R,Dasatinib; MECASERMIN,No
Reactome,NCAM Signaling For Neurite Out-Growth R-HSA-375165,3.297984e-03,1.133307e-02,147.80,2,SRC; FGFR1,Dasatinib; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
Reactome,Signaling By ERBB4 R-HSA-1236394,3.297984e-03,1.133307e-02,147.80,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
KEGG,Epstein-Barr virus infection,3.371031e-03,6.910613e-03,62.84,3,IL6; BCL2; PIK3R1,DACTOLISIB; GEDATOLISIB; SILTUXIMAB; VENETOCLAX,No
GO_BP,Regulation Of Translation (GO:0006417),3.371031e-03,1.396955e-02,62.84,3,IL6; RPS6KB1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; SILTUXIMAB,No
GO_BP,Peptidyl-Threonine Phosphorylation (GO:0018107),3.412595e-03,1.408545e-02,144.28,2,STK11; ULK1,Metformin; Spermidine,No
KEGG,VEGF signaling pathway,3.529054e-03,7.145245e-03,140.91,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,Yes
GO_BP,Negative Regulation Of Protein-Containing Complex Assembly (GO:0031333),3.529054e-03,1.445099e-02,140.91,2,SRC; ULK1,Dasatinib; Spermidine,No
GO_BP,Negative Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001960),3.529054e-03,1.445099e-02,140.91,2,IL6; PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; SILTUXIMAB,No
GO_BP,Negative Regulation Of Cell Differentiation (GO:0045596),3.610690e-03,1.472706e-02,60.55,3,IL6; PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; Resveratrol; SILTUXIMAB,No
Reactome,FCGR3A-mediated Phagocytosis R-HSA-9664422,3.647354e-03,1.242072e-02,137.66,2,SRC; ABL1,Dasatinib,No
GO_BP,Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001236),3.647354e-03,1.481827e-02,137.66,2,SRC; FGFR1,Dasatinib; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
Reactome,Signaling By FGFR In Disease R-HSA-1226099,3.767490e-03,1.271528e-02,134.54,2,PIK3R1; FGFR1,DACTOLISIB; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
GO_BP,Positive Regulation Of Cell Junction Assembly (GO:1901890),3.767490e-03,1.524656e-02,134.54,2,EPHB2; EPHA2,Dasatinib,No
GO_BP,Fat Cell Differentiation (GO:0045444),3.889457e-03,1.561813e-02,131.54,2,PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; Resveratrol,No
GO_BP,Protein-Containing Complex Disassembly (GO:0032984),3.889457e-03,1.561813e-02,131.54,2,BECN1; MAP1LC3B,Spermidine,No
Reactome,Signaling By MET R-HSA-6806834,4.013249e-03,1.342485e-02,128.64,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Positive Regulation Of Macroautophagy (GO:0016239),4.138862e-03,1.655545e-02,125.85,2,PRKAA2; SIRT1,Metformin; Resveratrol,Yes
KEGG,Regulation of actin cytoskeleton,4.174068e-03,8.348136e-03,55.94,3,SRC; PIK3R1; FGFR1,DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Regulation Of Translational Initiation (GO:0006446),4.266289e-03,1.693439e-02,123.17,2,RPS6KB1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509),4.266289e-03,1.693439e-02,123.17,2,GHR; IL6,SILTUXIMAB; SOMATROPIN,No
Reactome,Adaptive Immune System R-HSA-1280218,4.341176e-03,1.439443e-02,28.76,5,BECN1; SRC; RICTOR; PIK3R1; MTOR,DACTOLISIB; Dasatinib; GEDATOLISIB; Rapamycin; Spermidine,No
GO_BP,Negative Regulation Of Immune Response (GO:0050777),4.395525e-03,1.724911e-02,120.57,2,SRC; ATG5,Dasatinib; Spermidine,No
GO_BP,Regulation Of Endocytosis (GO:0030100),4.395525e-03,1.724911e-02,120.57,2,SRC; ABL1,Dasatinib,No
GO_BP,Peptidyl-Threonine Modification (GO:0018210),4.395525e-03,1.724911e-02,120.57,2,STK11; ULK1,Metformin; Spermidine,No
GO_BP,Skin Development (GO:0043588),4.659404e-03,1.821563e-02,115.65,2,FGFR1; EPHA2,Dasatinib; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Apoptotic Process (GO:0006915),4.730295e-03,1.842326e-02,52.20,3,STK11; BCL2; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin; VENETOCLAX,No
Reactome,Circadian Clock R-HSA-400253,4.794036e-03,1.575779e-02,113.32,2,NAMPT; SIRT1,Resveratrol,No
GO_BP,Cellular Response To Calcium Ion (GO:0071277),4.794036e-03,1.860158e-02,113.32,2,PRKAA1; PRKAA2,Metformin,No
KEGG,Prolactin signaling pathway,4.930456e-03,9.742107e-03,111.06,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237),4.930456e-03,1.898867e-02,111.06,2,SRC; BCL2,Dasatinib; VENETOCLAX,No
GO_BP,Regulation Of Actin Filament-Based Process (GO:0032970),4.930456e-03,1.898867e-02,111.06,2,RICTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Lipid Biosynthetic Process (GO:0008610),5.068659e-03,1.944863e-02,108.87,2,PRKAA1; PRKAA2,Metformin,No
Reactome,Signaling By FGFR2 R-HSA-5654738,5.208639e-03,1.697298e-02,106.76,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,Yes
GO_BP,Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),5.208639e-03,1.991199e-02,106.76,2,SRC; SIRT1,Dasatinib; Resveratrol,No
Reactome,RHOG GTPase Cycle R-HSA-9013408,5.493911e-03,1.774956e-02,102.73,2,PIK3R1; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Negative Regulation Of Phosphorylation (GO:0042326),5.639192e-03,2.140001e-02,100.81,2,EPHB2; SIRT1,Dasatinib; Resveratrol,No
GO_BP,Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120032),5.639192e-03,2.140001e-02,100.81,2,EPHA2; ATG5,Dasatinib; Spermidine,No
GO_BP,Positive Regulation Of Programmed Cell Death (GO:0043068),5.775038e-03,2.183555e-02,46.69,3,IL6; BCL2; SIRT1,Resveratrol; SILTUXIMAB; VENETOCLAX,No
KEGG,Chronic myeloid leukemia,5.786229e-03,1.129692e-02,98.95,2,ABL1; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
Reactome,Transmission Across Chemical Synapses R-HSA-112315,5.840459e-03,1.869530e-02,46.39,3,PRKAA1; PRKAA2; SRC,Dasatinib; Metformin,No
Reactome,Leishmania Infection R-HSA-9658195,5.906326e-03,1.869530e-02,46.10,3,IL6; SRC; ABL1,Dasatinib; SILTUXIMAB,No
KEGG,Bacterial invasion of epithelial cells,5.935017e-03,1.145109e-02,97.14,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
Reactome,Signaling By Insulin Receptor R-HSA-74752,5.935017e-03,1.869530e-02,97.14,2,PIK3R1; FGFR1,DACTOLISIB; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030512),5.935017e-03,2.227782e-02,97.14,2,PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; Resveratrol,No
GO_BP,Positive Regulation Of Endothelial Cell Proliferation (GO:0001938),5.935017e-03,2.227782e-02,97.14,2,SIRT1; FGFR1,NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Resveratrol,No
GO_BP,Regulation Of Innate Immune Response (GO:0045088),6.085551e-03,2.267853e-02,95.39,2,NFE2L2; ATG5,BARDOXOLONE METHYL; Spermidine,No
GO_BP,Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760),6.085551e-03,2.267853e-02,95.39,2,IL6; EPHB2,Dasatinib; SILTUXIMAB,No
GO_BP,Cellular Response To UV (GO:0034644),6.237826e-03,2.307996e-02,93.69,2,STK11; SIRT1,Metformin; Resveratrol,No
GO_BP,Negative Regulation Of Cellular Component Organization (GO:0051129),6.237826e-03,2.307996e-02,93.69,2,SRC; ULK1,Dasatinib; Spermidine,No
GO_BP,Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901),6.391836e-03,2.348206e-02,92.04,2,PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; Resveratrol,No
GO_BP,Regulation Of Organelle Assembly (GO:1902115),6.391836e-03,2.348206e-02,92.04,2,EPHB2; ATG5,Dasatinib; Spermidine,No
GO_BP,Activation Of Protein Kinase Activity (GO:0032147),6.547577e-03,2.396922e-02,90.44,2,STK11; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin,No
GO_BP,Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),6.705042e-03,2.437342e-02,88.88,2,IL6; EPHB2,Dasatinib; SILTUXIMAB,No
GO_BP,Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),6.705042e-03,2.437342e-02,88.88,2,SRC; BCL2,Dasatinib; VENETOCLAX,No
GO_BP,Regulation Of Epithelial To Mesenchymal Transition (GO:0010717),6.864228e-03,2.486483e-02,87.37,2,IL6; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; SILTUXIMAB,No
GO_BP,Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043281),7.025128e-03,2.523586e-02,85.90,2,SRC; SIRT1,Dasatinib; Resveratrol,No
GO_BP,Regulation Of Osteoblast Differentiation (GO:0045667),7.187738e-03,2.523586e-02,84.47,2,IL6; PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; SILTUXIMAB,No
GO_BP,Positive Regulation Of Protein Localization (GO:1903829),7.187738e-03,2.523586e-02,84.47,2,PRKAA1; PRKAA2,Metformin,No
GO_BP,Macromolecule Catabolic Process (GO:0009057),7.187738e-03,2.523586e-02,84.47,2,BECN1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; Spermidine,No
GO_BP,Negative Regulation Of Signal Transduction (GO:0009968),7.318585e-03,2.523586e-02,40.78,3,RPS6KB1; BCL2; PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; Rapamycin; VENETOCLAX,No
Reactome,Regulation Of HMOX1 Expression And Activity R-HSA-9707587,7.478193e-03,2.291798e-02,842.66,1,NFE2L2,BARDOXOLONE METHYL,No
Reactome,MECP2 Regulates Transcription Factors R-HSA-9022707,7.478193e-03,2.291798e-02,842.66,1,PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE,No
Reactome,Maturation Of Spike Protein R-HSA-9683686,7.478193e-03,2.291798e-02,842.66,1,GANAB,Acarbose,No
GO_BP,C-terminal Protein Lipidation (GO:0006501),7.478193e-03,2.523586e-02,842.66,1,ATG5,Spermidine,No
GO_BP,Regulation Of Focal Adhesion Disassembly (GO:0120182),7.478193e-03,2.523586e-02,842.66,1,PIK3R1,DACTOLISIB; GEDATOLISIB,No
GO_BP,Regulation Of Glucagon Secretion (GO:0070092),7.478193e-03,2.523586e-02,842.66,1,IL6,SILTUXIMAB,No
GO_BP,PERK-mediated Unfolded Protein Response (GO:0036499),7.478193e-03,2.523586e-02,842.66,1,NFE2L2,BARDOXOLONE METHYL,No
GO_BP,TORC2 Signaling (GO:0038203),7.478193e-03,2.523586e-02,842.66,1,RICTOR,Rapamycin,No
GO_BP,Regulation Of Interleukin-1-Mediated Signaling Pathway (GO:2000659),7.478193e-03,2.523586e-02,842.66,1,IL6,SILTUXIMAB,No
GO_BP,Negative Regulation Of Sequestering Of Triglyceride (GO:0010891),7.478193e-03,2.523586e-02,842.66,1,PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE,No
GO_BP,Regulation Of Macrophage Apoptotic Process (GO:2000109),7.478193e-03,2.523586e-02,842.66,1,SIRT1,Resveratrol,No
